,entrezid
2083,2033
2084,83746
2085,150356
2086,5905
2087,23264
2088,84844
2089,50
2090,171568
2091,55687
2092,5372
2093,27351
2094,64781
2095,23774
2096,9889
2097,23209
2098,83933
2099,54207
2100,63874
2101,23351
2102,2287
2103,56948
2104,55147
2105,10419
2106,1690
2107,11154
2108,5427
2109,79609
2110,6655
2111,8814
2112,51199
2113,5836
2114,114088
2115,5706
2116,64841
2117,80821
2118,1033
2119,10175
2120,10668
2121,51382
2122,55195
2123,26499
2124,5283
2125,5684
2126,10490
2127,26520
2128,2954
2129,9786
2130,283578
2131,161394
2132,10598
2133,23002
2134,145501
2135,9517
2136,79890
2137,5641
2138,8846
2139,22938
2140,3705
2141,51635
2142,5494
2143,51804
2144,57452
2145,51676
2146,145508
2147,2079
2148,3091
2149,9766
2150,6430
2151,1983
2152,6547
2153,23405
2154,79038
2155,4522
2156,8115
2157,79882
2158,9894
2159,22990
2160,623
2161,51527
2162,7443
2163,5700
2164,89932
2165,9252
2166,55671
2167,60686
2168,5693
2169,7528
2170,22985
2171,57820
2172,9321
2173,328
2174,8106
2175,10278
2176,394
2177,51550
2178,10202
2179,6729
2180,57680
2181,5106
2182,9692
2183,80344
2184,5687
2185,4792
2186,51016
2187,5721
2188,84312
2189,9985
2190,10548
2191,10484
2192,51292
2193,5411
2194,5875
2195,4776
2196,5360
2197,63935
2198,2937
2199,30813
2200,26133
2201,5834
2202,26090
2203,10544
2204,9837
2205,22981
2206,958
2207,55245
2208,23613
2209,10110
2210,51098
2211,4605
2212,3172
2213,57446
2214,84174
2215,55969
2216,4773
2217,140730
2218,80336
2219,6789
2220,57167
2221,23394
2222,5203
2223,55816
2224,1477
2225,8480
2226,7165
2227,80331
2228,51497
2229,1522
2230,24148
2231,81027
2232,51012
2233,26164
2234,5688
2235,28231
2236,55257
2237,10732
2238,11083
2239,54994
2240,63910
2241,55738
2242,1917
2243,5753
2244,26205
2245,54976
2246,25876
2247,994
2248,140862
2249,11237
2250,10139
2251,79133
2252,57761
2253,9770
2254,1457
2255,113278
2256,51378
2257,8760
2258,81502
2259,9751
2260,10326
2261,10483
2262,55612
2263,5332
2264,10398
2265,9777
2266,140711
2267,51340
2268,23509
2269,25939
2270,9371
2271,140699
2272,10528
2273,63905
2274,3420
2275,22919
2276,182
2277,51654
2278,6640
2279,9675
2280,1869
2281,58490
2282,11264
2283,128866
2284,671
2285,1471
2286,79913
2287,191
2288,81610
2289,57119
2290,60625
2291,116092
2292,84557
2293,128869
2294,7125
2295,10005
2296,57136
2297,56853
2298,9658
2299,28316
2300,22850
2301,79863
2302,9097
2303,9218
2304,64863
2305,9663
2306,23347
2307,8736
2308,10627
2309,79959
2310,29906
2311,55125
2312,8731
2313,4092
2314,9388
2315,284217
2316,54941
2317,23253
2318,11201
2319,57534
2320,5932
2321,8780
2322,1478
2323,286436
2324,25878
2325,340547
2326,5716
2327,115201
2328,412
2329,6907
2330,10857
2331,5422
2332,4281
2333,79576
2334,55916
2335,23439
2336,79868
2337,5634
2338,56180
2339,9949
2340,91851
2341,64743
2342,6839
2343,8406
2344,2742
2345,331
2346,10735
2347,286410
2348,4168
2349,215
2350,28952
2351,778
2352,6855
2353,5355
2354,5358
2355,8260
2356,5973
2357,2000
2358,6594
2359,55613
2360,140462
2361,340554
2362,5931
2363,3750
2364,9016
2365,2332
2366,11040
2367,10389
2368,7355
2369,10084
2370,27344
2371,2010
2372,6901
2373,282808
2374,5230
2375,84061
2376,6611
2377,5251
2378,8266
2379,83692
2380,8411
2381,6102
2382,9767
2383,5127
2384,8237
2385,9468
2386,27336
2387,7076
2388,56062
2389,2564
2390,27328
2391,2245
2392,5303
2393,64840
2394,10916
2395,5935
2396,11279
2397,27286
2398,94121
2399,158866
2400,2491
2401,1821
2402,54457
2403,51260
2404,2717
2405,51566
2406,56271
2407,80183
2408,259232
2409,2259
2410,3356
2411,54602
2412,10673
2413,22862
2414,81602
2415,81617
2416,688
2417,8428
2418,54
2419,5611
2420,55757
2421,8874
2422,2254
2423,6445
2424,143
2425,55578
2426,10240
2427,10166
2428,3839
2429,2321
2430,28984
2431,23078
2432,160851
2433,84056
2434,26512
2435,79758
2436,84935
2437,8848
2438,1203
2439,10232
2440,23295
2441,23361
2442,8717
2443,3299
2444,11151
2445,5595
2446,79153
2447,79767
2448,5257
2449,57149
2450,10204
2451,9688
2452,80152
2453,55815
2454,10725
2455,83752
2456,9683
2457,23568
2458,51090
2459,23090
2460,6367
2461,1723
2462,10664
2463,65057
2464,5432
2465,50855
2466,55565
2467,4324
2468,79650
2469,80777
2470,29070
2471,4832
2472,65009
2473,5713
2474,79918
2475,55238
2476,55697
2477,3038
2478,79613
2479,25839
2480,55512
2481,84138
2482,9057
2483,23659
2484,80004
2485,79726
2486,22879
2487,56942
2488,8312
2489,54985
2490,8131
2491,23417
2492,4350
2493,54550
2494,83693
2495,9013
2496,51172
2497,58189
2498,9717
2499,23406
2500,9100
2501,83716
2502,7249
2503,26048
2504,4833
2505,4363
2506,408050
2507,64788
2508,2294
2509,64428
2510,64779
2511,1186
2512,84264
2513,65990
2514,8140
2515,79006
